Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,12-Feb-15,PO515583,"2,838.00"
D.C. NATIONAL GUARD,"5303030:FOLDERS, CONFERENCE, VINYL, HOLDS 8-1/2 IN. X 11 IN. PAD",LASER ART INC,11-Dec-14,PO512503,131.2
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",AMERICAN UNIVERSITY,13-Jan-15,PO514071,"1,690.50"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Capitol Letters Writing Center,22-Oct-14,PO507924,"12,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",JARED DAVIS,22-Oct-14,PO507933,"10,000.00"
DEPARTMENT OF HEALTH CARE FINANCE,9484800:Health Care Services (Not Otherwise Classified),NATIONAL NURSES SEVICES INC,5-Dec-14,PO512087,"100,000.00"
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,26.38
DEPARTMENT OF EMPLOYMENT SERVICES,9183800:Education and Training Consulting,"Global Kids, Inc.",6-Nov-14,PO509608-V2,"97,002.00"
DEPARTMENT OF HEALTH,9487200:Pharmaceutical Services,DEFENSE LOGISTIC AGENCY,18-Feb-15,PO505504-V2,"1,209,860.77"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",WALTON & GREEN CONSULTANTS,19-Nov-14,PO510756,"997,349.25"
DEPARTMENT OF YOUTH REHABILITATION SVCS,8900100:Air Flotation Systems (For Water Treatment Removal of Hydrocarbons),WILLOUGHBY INDUSTRIES INC.,6-Nov-14,PO509729,"10,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"2853955:PARTS AND ACCESSORIES, STATIONARY TYPE GENERATORS","General Services, Inc.",1-Oct-14,PO505914,"8,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9183200:Consulting Services (Not Otherwise Classified),PAUL M. WASHINGTON,1-Oct-14,PO505707,"25,440.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9101317:ELEVATOR MAINTENANCE AND REPAIR SERVICES,"BAYLINE LIFT TECHNOLOGIES, LLC",30-Oct-14,PO508942,156.5
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",TONYS AUTO SERV./COMM SERV. OP,17-Oct-14,PO507571,"76,834.00"
DEPARTMENT OF TRANSPORTATION,"9204752:SUPPORT SERVICES, COMPUTER, MISCELLANEOUS","OST, Inc.",27-Jan-15,PO506881-V3,"37,459.20"
FIRE AND EMERGENCY MEDICAL SERVICES,"6157365:PAPER, ADDING MACHINE, RECYCLED, LINT FREE, CARBONLESS",DIGI DOCS INC DOCUMENT MGERS,23-Oct-14,PO508263,"2,638.00"
DC PUBLIC LIBRARY,9074200:Geotechnical - Soils,"ECS CAPITOL SERVICES, PLLC",28-Oct-14,PO493215-V2,"30,994.00"
D.C. DEPARTMENT OF HUMAN RESOURCES,9186600:Human Resources Consulting,ROSS S. MYERSON,9-Jan-15,PO513882,"10,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4206429:CHAIRS, CONFERENCE OR SIDE, WOOD",K-LOG INC,3-Feb-15,PO515009,304
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,6557143:PAPER FOR COLOR PRINT PROCESSING (KODAK EKTACHROME COPY PAPER OR EQUAL),PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,21-Nov-14,PO511098,739.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001084:SWEATPANTS, UNISEX, 7-7.5 OZ. FLEECE, ELASTIC WAIST AND CUFFS, NO POCKETS",MORGANS INC,5-Dec-14,PO512123,"2,825.55"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151400:Boards: Calendar, Schedule, Dispatch, Manning, etc.",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510492,"15,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9241800:Educational Services, Alternative",SPORTS4KIDS,18-Nov-14,PO510743,"20,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4856429:CARTS, JANITOR",GLOBAL INDUSTRIAL,4-Dec-14,PO512018,597.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008554:SHIRTS, UNIFORM, 65/35, 6 OZ. TWILL, WRINKLE FREE, 2 BREAST POCKETS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514085,98.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),Fund for Education and Human Service,19-Nov-14,PO510793,500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",ETA/CUISENAIRE DBA A. DAIGGER,24-Oct-14,PO508378,193.63
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,Capital Services and Supplies,24-Nov-14,PO511204,154
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,14.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School","Miles Away Charter, LLC",30-Jan-15,PO514949,"1,950.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions),SINGAPOREMATH.COM,12-Feb-15,PO515571,159
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",MARY BETH CROWDER-MEIER,29-Oct-14,PO508683,"1,425.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),THE PROPHET CORPORATION,6-Feb-15,PO515278,33.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),TRIARCO ARTS & CRAFTS LLC,13-Feb-15,PO515649,20
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,9-Feb-15,PO515345,333.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LAKESHORE LEARNING MATERIALS,24-Nov-14,PO511156,90.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",SCHOOL SPECIALTY,16-Jan-15,PO514252,5.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",LAKESHORE LEARNING MATERIALS,5-Nov-14,PO509393,945.25
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,8-Jan-15,PO513839,520
DEPARTMENT OF FORENSICS SCIENCES,"9209100:Training, Computer Based (Software Supported)",LYNDA.COM INC,4-Mar-15,PO516474,375
DEPARTMENT OF GENERAL SERVICES,9183100:Construction Consulting,"Protiviti Government Services,",31-Oct-14,PO509050,"99,840.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"District Veterans Contracting,",11-Dec-14,PO512454,"80,000.00"
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",ASIAN PACIFIC ISLANDER,10-Oct-14,PO506911,"100,000.00"
D.C. SENTENCING & CRIM. CODE REV. COMM.,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"Blueprint Consulting Services, LLC",20-Oct-14,PO507507,"27,559.82"
OFFICE OF PEOPLE'S COUNSEL,"9852700:Copy Machines, Digital Type, Rental or Lease",XEROX CORPORATION,16-Oct-14,PO507480,"1,000.00"
DEPARTMENT OF PUBLIC WORKS,"7454955:PARTS, RUBBER EXPANSION JOINT",RUBBEREDGE LLC,12-Jan-15,PO513940,"1,116.48"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",AMERICAN PUBLIC UNIVERSITY SYS,30-Jan-15,PO514926,"1,500.00"
OFFICE OF CABLE TV,"8405842:HARDWARE AND ACCESSORIES, TELEVISION",CORPORATE SYSTEMS RESOURCES,16-Dec-14,PO512829,114
DEPARTMENT OF PUBLIC WORKS,"9360900:Alarm Equipment Maintenance/Repair (Fire, etc.)",ACE FIRE EXTINGUISHER SERVICE,3-Oct-14,PO506167,"10,000.00"
DEPARTMENT OF PUBLIC WORKS,9687200:Snow and Ice Removal Services,Dome Corporation of North America,11-Dec-14,PO512517,"51,429.00"
PUBLIC SERVICE COMMISSION,2085495:WEBSITE DEVELOPMENT TOOL SOFTWARE,DATA NET SYSTEMS CORP,25-Feb-15,PO507428-V2,"91,624.52"
D.C. NATIONAL GUARD,"6002500:Calculators, Mechanical",LASER ART INC,11-Dec-14,PO512503,"2,868.00"
D.C. NATIONAL GUARD,"6157366:PAPER, NOTEBOOK FILLER, RECYCLED",Capital Services and Supplies,16-Jan-15,PO514260,924
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"LAZ PARKING LTD, LLC",8-Dec-14,PO511881-V2,"2,800.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",GRAYBAR ELECTRIC CO INC,3-Nov-14,PO507140-V2,76.95
OFFICE OF THE D.C. AUDITOR,"6003850:COPIERS, COLOR, NEW",CENTRIC BUSINESS SYSTEMS,17-Dec-14,PO512912,"1,252.54"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Capital Reporting Company,10-Oct-14,PO506961,"2,006.00"
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9183200:Consulting Services (Not Otherwise Classified),Kishan Putta,19-Dec-14,PO512401-V2,"25,000.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,FORENSIC NEUROSCIENCE INC.,6-Oct-14,PO506244,"2,200.00"
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,"4251742:DESKS, WORKSTATION, MICROMOVER",The Kane Company,21-Oct-14,PO507799,"4,200.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9462520:AUTOMATED FUND TRANSFER SERVICES,"Wells Fargo Bank, N.A.",20-Oct-14,PO487410-V3,"3,639,000.00"
DEPARTMENT OF HEALTH CARE FINANCE,9484800:Health Care Services (Not Otherwise Classified),MERCER HUMAN RESOURCE CONSULTI,10-Feb-15,PO510142-V2,"460,000.00"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),LG Total Fitness/Triple Deligh,24-Feb-15,PO513180-V2,"44,750.00"
DEPARTMENT ON DISABILITY SERVICES,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",COLUMBIA LIGHTHOUSE FOR BLIND,7-Oct-14,PO506454,"21,165.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",CAPITOL HILL SUPPORTIVE SVCS,5-Nov-14,PO509551,500
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),"RAP, INC.",2-Oct-14,PO506046,"300,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"7255130:CELLULAR PHONES, COMPLETE UNITS (BRAND LISTED OR EQUAL)",WORLD COMMUNICATION CENTER INC,26-Jan-15,PO514620,"9,800.70"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7154800:Medical Books and Publications,INTAC INC,22-Oct-14,PO508052,37.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),"MARLOW SPORTS, INC.",8-Dec-14,PO512221,250
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3931076:SNACKS, CHEESE FLAVOR.","COMPASS GROUP USA, INC",20-Feb-15,PO515903,67.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.",OFFICE DEPOT,13-Jan-15,PO514028,68.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151520:BOOKS, FIGURING AND MULTICOLUMN, CLOTH COVERED STIFF COVERS, IMIT. LEATHER BACKS AND CORNERS, LEDGER PAPER",DEMCO INC,25-Nov-14,PO511258,287.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0703300:School Buses, Complete, Conventional Type",STEVEN FAISON JR,28-Oct-14,PO508580,950
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",BSN SPORTS,17-Dec-14,PO512908,"6,800.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9620800:Athletic Training,Breathing Space,29-Jan-15,PO514796,"5,700.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8051500:Athletic Awards (For Service Type See Class 080): Medals, Plaques, Trophies, etc.",LAMB AWARDS & ENGRAVING T/A J,20-Jan-15,PO514356,"1,670.75"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"Coastal Healthcare Services, I",5-Jan-15,PO513264,"50,000.00"
DC PUBLIC LIBRARY,"9101500:Door Installation, Maintenance, and Repair (Wood)",Window Specialists Inc,23-Jan-15,PO514540,"3,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",MNB TRANSPORTATION SERVICE LLC,13-Feb-15,PO515699,850
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",AMERICAN READING COMPANY,16-Dec-14,PO512852,374.42
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,"TEACHER CREATED MATERIALS, INC",18-Dec-14,PO513049,624.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,SCHOOL HEALTH CORPORATION,9-Mar-15,PO516584,"1,999.90"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1406900:Mop Manufacturing Tools,General Merchandise Supplies,11-Dec-14,PO512471,80.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),B & H FOTO & ELECTORNICS CORP,11-Dec-14,PO512548,398
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982900:Computers, Parts and Supplies",PRESENTATION SYSTEMS SOUTH,27-Feb-15,PO516253,399.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,18.08
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,38.85
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,11.67
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151034:BOOKS, MISCELLANEOUS (BY TITLE OR PUBLISHER)",INTAC INC,10-Nov-14,PO510015,32.61
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",Quia Corporation,12-Nov-14,PO510111,"2,010.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",General Merchandise Supplies,20-Feb-15,PO515902,304.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),Kellogg Consulting Group,16-Jan-15,PO510740-V2,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,22.7
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment",BALTIMORE CAR & TRUCK,1-Oct-14,PO505844,"20,000.00"
CHILD AND FAMILY SERVICES AGENCY,"2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)","SUPRETECH, INC.",14-Jan-15,PO514151,"2,562.89"
CHILD AND FAMILY SERVICES AGENCY,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",MIDTOWN PERSONNEL INC,3-Dec-14,PO511925,"46,099.20"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",UNIVERSITY OF DISTRICT OF COL,16-Dec-14,PO512816,"1,950.00"
D.C. NATIONAL GUARD,"3106736:ENVELOPES, MAILING, SELF-SEAL, BUBBLE TYPE",LASER ART INC,13-Jan-15,PO514070,100.76
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO507136-V2,"54,021.60"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",8-Oct-14,PO506483,"7,017.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",1-Oct-14,PO505817,"1,960.13"
LOTTERY & CHARITABLE GAMES CONTROL BOARD,9180400:Accounting/Auditing/Budget Consulting,"F.S. TAYLOR & ASSOCIATES, PC",31-Dec-14,PO513622,"59,560.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,24-Feb-15,PO506673-V2,"1,992.25"
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,17-Oct-14,PO504630-V2,0
DEPARTMENT OF GENERAL SERVICES,"4505567:PADLOCKS AND PARTS, MASTER LOCK OR EQUAL","BLAYDES INDUSTRIES,INC.",1-Dec-14,PO509258,"100,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"STORAGE SERVICES, RECORD CENTER",IRON MOUNTAIN,24-Oct-14,PO504066-V3,"4,690.13"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Danielle Mohlman,21-Oct-14,PO507819,"10,000.00"
DEPARTMENT OF PARKS AND RECREATION,9150300:Advertising/Public Relations,RADIO ONE INC.,1-Oct-14,PO505652,"5,000.00"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),HOWARD R JEAN,23-Oct-14,PO508227,"9,980.00"
METROPOLITAN POLICE DEPARTMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","FILEONQ, INC.",1-Oct-14,PO505628,"26,843.48"
OFFICE ON AGING,9524000:Elderly Assistance Services,TERRIFIC INC.,18-Dec-14,PO508065-V2,"803,349.00"
OFFICE OF PEOPLE'S COUNSEL,"6456900:Paper and Paper Products, Scrap or Waste",Capital Services and Supplies,7-Oct-14,PO506358,"3,000.00"
OFFICE OF PEOPLE'S COUNSEL,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE","MVS, Inc.",17-Dec-14,PO512930,"1,975.00"
CHILD AND FAMILY SERVICES AGENCY,"9527700:Research and Evaluation, Human Services (Including Productivity Audits)","Coordinated Care Services, Inc",2-Mar-15,PO509213-V2,"18,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER","MVS, Inc.",23-Dec-14,PO513341,321.42
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"Health IT 2 Business Solutions, LLC",2-Mar-15,PO516284,"90,600.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",On-Line Computer Products Inc.,19-Nov-14,PO510846,243.9
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",GRAYBAR ELECTRIC CO INC,3-Nov-14,PO507140-V2,721.78
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9625800:Professional Services (Not Otherwise Classified),THE AQUILINE GROUP,7-Nov-14,PO509902,"5,000.00"
D.C. NATIONAL GUARD,9108250:ELECTRICAL MAINTENANCE AND REPAIR SERVICES,RSC ELECTRICAL & MECHANICAL CO,20-Feb-15,PO515880,"97,500.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Gallery Systems LLC,7-Jan-15,PO511370-V2,"6,545.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",WPA/CORCORAN ASSOCIATION,4-Nov-14,PO509279,"52,900.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),PARALEGAL INST OF WASH DC,23-Feb-15,PO510075-V2,"2,000.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9625800:Professional Services (Not Otherwise Classified),Covenant House Washington,5-Feb-15,PO514524,"1,300.00"
DEPARTMENT ON DISABILITY SERVICES,"9616730:INTERPRETER, SIGN LANGUAGE","VISCOM INTERPRETING, INC",1-Oct-14,PO505672,"30,000.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",MY OWN PLACE INC,15-Jan-15,PO505363-V2,"22,290.55"
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),FAMILY MEDICAL COUNSELING,4-Feb-15,PO514958,"353,104.00"
DEPARTMENT OF HEALTH,9183000:Computer Network Consulting,Synergetic Information Systems,2-Feb-15,PO514985,"395,611.04"
DEPARTMENT OF HEALTH,9183800:Education and Training Consulting,PLANNED PARENTHOOD OF METRO WA,9-Feb-15,PO515324,"17,666.66"
DEPARTMENT OF HEALTH,9183800:Education and Training Consulting,HARVARD UNIVERSITY,13-Feb-15,PO515666,"7,200.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9241900:Educational Research Services,The Achievement Network,20-Nov-14,PO510730,"20,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9185200:Food Service Consulting,"HOLDER ENTERPRISES, INC.",21-Nov-14,PO511080,147
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009210:APPAREL, WORK, (MISC)",MORGANS INC,18-Nov-14,PO510666,79.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045440:MICROCOMPUTERS, HANDHELD",APPLE COMPUTER INC,19-Dec-14,PO513191,688.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9772538:FOOD SERVICE EQUIPMENT RENTAL,DC CENTRAL KITCHEN,12-Nov-14,PO510162,"2,866,691.65"
DEPARTMENT OF BEHAVIORAL HEALTH,9103957:JANITORIAL/CUSTODIAL SERVICES,CLEAN TEAM JANITORIAL SVCS,10-Nov-14,PO505862-V2,"8,604.90"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Kognito Solutions LLC,9-Dec-14,PO506418-V2,"6,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),PREFERRED TEMP SERVICES,2-Oct-14,PO505949,"72,688.08"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHILDREN'S INSTITUTE,7-Oct-14,PO484179-V3,"1,200.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),NATIONAL NURSES SEVICES INC,28-Feb-15,PO505909-V4,287.68
STATE SUPERINTENDENT OF EDUCATION (OSSE),9710200:Athletic Facility Rental or Lease,CATHOLIC UNIVERSITY OF AMERICA,18-Nov-14,PO510624,"12,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"JOHN STRAUS, PA",29-Oct-14,PO508810,"42,000.00"
DC PUBLIC LIBRARY,"9092200:Building Construction, Non-Residential (Office Bldg., etc.)",KEYSTONE PLUS CONSTRUCTION COR,8-Oct-14,PO506608,"94,000.00"
DEPARTMENT OF HUMAN SERVICES,9524300:Family and Social Services (Including Shopping and Buying Services),Catholic Charities,3-Nov-14,PO509156,"50,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6156918:CLIPS, PAPER, CLAM TYPE",AMERICAN EXPRESS COMPANY,29-Oct-14,PO508740,"10,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",STEVEN FAISON JR,18-Nov-14,PO510670,750
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5606964:PARTS AND ACCESSORIES, HAND TRUCKS","CDW Government, Inc.",13-Jan-15,PO514075,"3,502.71"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6650675:SHEETS, ACETATE",AUDIO VISUAL INNOVATIONS INC,17-Dec-14,PO512873,839.85
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2012553:BELTS, WOMEN'S, UNIFORM, DRESS, MODIFIED",PEMBROKE WEST ASSOCIATES INC,5-Dec-14,PO512141,269.76
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GEPPETTO CATERING INC,6-Nov-14,PO509683,500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,Eastern Educational Resource C,18-Feb-15,PO515730,"2,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,FUTURE MEDIA CONCEPTS INC,13-Feb-15,PO515701,"8,906.25"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158700:Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions),BARNES & NOBLE BOOKSELLERS INC,23-Dec-14,PO513331,732
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0375257:PENS AND PENCILS, IMPRINTED",AMERICAN EXPRESS COMPANY,27-Feb-15,PO516187,"5,000.00"
